,City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Min Temp,Pressure,Wind Speed,Real Feel Temp,City ID
170,Safi,MA,16,1634661730,78,32.2994,-9.2372,72.52,72.52,1017,10.92,73.13,2537881
171,Esperance,AU,60,1634661854,55,-33.8667,121.9,62.44,62.44,999,27.34,60.96,2071860
172,Barrow,US,90,1634661567,86,71.2906,-156.7887,21.22,21.22,1006,6.91,12.58,5880054
173,Victoria Point,AU,7,1634661749,93,-27.5833,153.3,64.9,59.49,1012,2.82,63.23,2145214
174,Provideniya,RU,100,1634661856,95,64.3833,-173.3,31.62,31.62,979,9.71,23.41,4031574
175,Shubarkuduk,KZ,89,1634661757,67,49.1447,56.4872,53.53,53.53,1010,7.43,51.73,608271
176,Ostrovnoy,RU,100,1634661752,63,68.0531,39.5131,35.28,35.28,1007,24.16,23.25,556268
177,Khovu-Aksy,RU,1,1634661857,67,51.1333,93.6,30.56,30.56,1032,4.83,25.54,1503527
178,Lālmohan,BD,100,1634661858,86,22.3384,90.7419,79.97,79.97,1012,5.95,79.97,1185251
179,Meulaboh,ID,77,1634661858,87,4.1363,96.1285,77.41,77.41,1014,4.29,78.94,1214488
180,Zilair,RU,100,1634661859,90,52.2332,57.4392,42.37,42.37,1009,3.44,40.57,462626
181,Adrar,MR,44,1634661698,7,20.5022,-10.0711,94.06,94.06,1011,12.12,89.37,2381972
182,Tautira,PF,67,1634661860,77,-17.7333,-149.15,78.82,78.01,1018,18.12,78.82,4033557
183,Nālūt,LY,69,1634661861,46,30.3333,10.85,70.66,70.66,1020,21.61,69.58,2214432
184,Thompson,CA,75,1634661699,69,55.7435,-97.8558,35.76,35.76,1025,9.22,28.78,6165406
185,Kaihua,CN,93,1634661862,96,23.3687,104.28,63.54,63.54,1016,7.2,64.09,1804874
186,Kumul,CN,1,1634661863,23,42.8,93.45,55.06,55.06,1021,0.87,51.35,1529484
187,Port Moresby,PG,40,1634661864,94,-9.4431,147.1797,74.62,74.62,1010,5.75,76.21,2088122
188,Ulaangom,MN,0,1634661812,71,49.9811,92.0667,33.66,33.66,1031,1.61,33.66,1515029
189,Airai,TL,84,1634661865,84,-8.9266,125.4092,62.55,62.55,1015,1.66,62.46,1651810
190,Luanda,AO,0,1634661866,73,-8.8368,13.2343,78.8,78.8,1008,10.36,78.8,2240449
191,Ignatovka,RU,100,1634661867,72,53.9479,47.6536,38.34,38.34,1013,8.43,32.32,557531
192,Stornoway,GB,75,1634661859,100,58.2093,-6.3865,56.93,51.93,991,4.61,55.89,2636790
193,Cherskiy,RU,98,1634661868,100,68.75,161.3,-13.85,-13.85,1009,3.6,-24.02,2126199
194,Philadelphia,US,1,1634661701,45,39.9523,-75.1638,66.24,59.85,1018,4.0,60.78,4560349
195,San Buenaventura,MX,75,1634661869,53,27.0833,-101.5333,79.48,70.72,1017,5.75,70.97,3987500
196,Luorong,CN,99,1634661870,78,24.4058,109.6086,71.51,71.51,1016,3.36,72.03,1801850
197,Takoradze,GH,99,1634661871,82,4.8845,-1.7554,80.02,80.02,1011,10.18,84.56,2294915
198,Amapá,BR,36,1634661871,29,1.0,-52.0,96.76,96.76,1009,5.64,96.6,3407762
199,Lavrentiya,RU,100,1634661596,94,65.5833,-171.0,28.13,28.13,984,23.31,15.53,4031637
200,Ossora,RU,17,1634661873,52,59.2353,163.0719,23.11,23.11,1002,8.5,13.66,2122389
201,Isla Mujeres,MX,97,1634661873,65,21.2311,-86.731,86.16,86.05,1015,12.3,93.34,3526756
202,Kuril'sk,RU,100,1634661874,86,45.2333,147.8833,48.79,48.79,1012,10.47,44.38,2123979
203,Iracoubo,GF,99,1634661875,74,5.4802,-53.2011,82.83,82.83,1011,8.61,89.13,3381428
204,Bengkulu,ID,100,1634661875,84,-3.8004,102.2655,76.66,76.66,1013,4.85,77.97,1649150
205,Quatre Cocos,MU,51,1634661876,74,-20.2078,57.7625,74.08,73.51,1021,10.71,74.68,1106643
206,Mahébourg,MU,75,1634661877,78,-20.4081,57.7,74.25,73.69,1021,9.22,74.43,934322
207,Mehamn,NO,40,1634661877,86,71.0357,27.8492,31.91,28.35,1013,5.75,22.48,778707
208,Manokwari,ID,80,1634661878,80,-0.8667,134.0833,78.21,78.21,1011,3.49,79.48,1636308
209,Arica,CL,0,1634661879,68,-18.475,-70.3042,74.75,64.63,1016,17.27,63.99,3899361
210,Alofi,NU,99,1634661707,83,-19.0595,-169.9187,71.49,71.49,1017,6.91,72.25,4036284
211,Erzin,TR,4,1634661880,61,36.9559,36.2,70.32,68.72,1018,3.83,68.16,296852
212,Naryan-Mar,RU,100,1634661881,99,67.6713,53.087,33.17,33.17,995,7.43,26.62,523392
213,Angoche,MZ,4,1634661881,77,-16.2325,39.9086,77.59,77.59,1017,7.83,78.67,1052944
214,Saldanha,ZA,0,1634661882,63,-33.0117,17.9442,78.85,78.85,1015,14.43,78.85,3361934
215,Westport,US,1,1634661883,58,41.1415,-73.3579,64.02,56.53,1012,1.01,58.73,4845585
216,Zavetnoye,RU,97,1634661884,74,47.1194,43.8903,45.03,45.03,1020,13.06,38.84,464179
217,Maceió,BR,40,1634661884,58,-9.6658,-35.7353,90.84,90.84,1013,14.97,100.53,3395981
218,Rognan,NO,100,1634661885,87,67.0953,15.3878,37.89,37.06,1006,9.17,30.61,3141548
219,Macapá,BR,40,1634661886,49,0.0389,-51.0664,94.98,94.98,1012,6.91,104.49,3396016
220,Hualmay,PE,84,1634661641,70,-11.0964,-77.6139,69.01,69.01,1015,8.84,68.9,3939761
221,Témiscaming,CA,1,1634661788,47,46.7212,-79.0971,59.49,54.95,1011,5.75,55.98,6162654
222,Truth or Consequences,US,1,1634661888,37,33.1284,-107.2528,68.92,66.43,1018,6.91,64.81,5495292
223,Praia,CV,0,1634661889,38,14.9215,-23.5087,91.94,91.94,1012,18.41,92.88,3374333
224,Dingle,PH,100,1634661695,92,10.9995,122.6711,77.27,77.27,1012,5.66,79.02,1714733
225,Hidrolândia,BR,52,1634661890,21,-4.4081,-40.4378,101.73,101.73,1007,5.64,100.2,3398457
226,Kargil,IN,0,1634661891,40,34.5667,76.1,44.89,44.89,1016,5.93,41.63,1267776
227,Faanui,PF,99,1634661891,78,-16.4833,-151.75,79.48,79.48,1016,13.62,79.48,4034551
228,Puerto Quijarro,BO,88,1634661892,28,-17.7833,-57.7667,93.22,93.22,1012,2.86,91.35,3444201
229,Narsaq,GL,8,1634661893,45,60.9167,-46.05,50.22,50.22,1022,0.85,47.05,3421719
230,Port Keats,AU,74,1634661787,77,-14.25,129.55,82.62,82.62,1011,10.67,89.47,2063039
231,Krasnosel'kup,RU,100,1634661894,95,65.7,82.4667,35.94,35.94,1007,14.58,26.78,1502073
232,Fortuna,US,1,1634661600,68,40.5982,-124.1573,55.98,49.08,1012,4.0,53.42,5563839
233,Qui Nhon,VN,96,1634661896,91,13.7667,109.2333,77.5,77.5,1014,6.78,79.23,1568574
234,Grand Gaube,MU,32,1634661896,76,-20.0064,57.6608,74.37,73.8,1021,3.0,75.07,934479
235,Waingapu,ID,58,1634661897,80,-9.6567,120.2641,80.91,80.91,1013,4.32,86.22,1622318
236,Puerto Escondido,MX,72,1634661898,60,15.85,-97.0667,85.5,85.5,1013,4.47,90.16,3520994
237,Moose Factory,CA,1,1634661673,66,51.2585,-80.6094,50.0,49.98,1008,5.75,47.77,6078372
238,Pangai,TO,100,1634661899,67,-19.8,-174.35,74.82,74.82,1018,17.85,75.15,4032369
239,Kroya,ID,86,1634661899,83,-7.6331,109.2461,78.67,78.67,1014,2.77,80.15,1639337
240,Kautokeino,NO,33,1634661900,97,69.0125,23.0412,11.17,11.17,1017,3.6,4.66,779330
241,Iqaluit,CA,90,1634661901,86,63.7506,-68.5145,37.13,36.7,1017,20.0,26.15,5983720
242,San Patricio,US,96,1634661902,52,28.017,-97.5169,82.9,78.75,1017,13.18,81.63,4726521
243,Golden,US,75,1634661790,45,39.7555,-105.2211,59.63,47.97,1011,10.36,51.33,5423294
244,Ferrol,ES,47,1634661905,65,43.4832,-8.2369,77.36,71.56,1017,15.66,75.22,3123493
245,Kirkwall,GB,75,1634661906,97,58.9848,-2.9587,55.74,53.96,992,8.05,54.64,2645198
246,San Quintín,MX,44,1634661723,62,30.4833,-115.95,64.38,64.38,1017,10.29,63.43,3984997
247,Cururupu,BR,83,1634661908,47,-1.8283,-44.8683,90.32,90.32,1010,8.57,93.87,3401148
248,Tanout,NE,13,1634661909,13,14.9709,8.8879,94.66,94.66,1008,7.67,90.09,2439155
249,Mabamba,TZ,99,1634661910,84,-3.5983,30.5019,67.77,67.77,1012,2.8,68.2,155514
250,Chernyshevskiy,RU,100,1634661911,97,63.0128,112.4714,31.05,31.05,1013,11.25,21.92,2025456
